"順位", "前回", "前々", "名前", "ポイント", "一押し", "コメント"
"437", "384", "388", "春の氷精　- 静 -", "7", "0", "2"
"437", "408", "395", "Selection", "7", "0", "2"
"437", "422", "395", "乙女戦士　～ Heart of Valkyrie", "7", "0", "2"
"440", "422", "449", "月輪", "6", "0", "0"
"440", "422", "380", "遍参", "6", "0", "1"
"440", "475", "449", "裏心", "6", "1", "3"
"440", "460", "436", "価値がわからない", "6", "0", "1"
"440", "408", "380", "Oriental Magician", "6", "1", "2"
"440", "465", "427", "死を賭して", "6", "0", "0"
"440", "429", "409", "久遠の夢", "6", "0", "0"
"440", "419", "346", "幻想帝都", "6", "1", "0"
"440", "408", "376", "新幻想　～ New Fantasy", "6", "1", "1"
"440", "436", "409", "Inventive City", "6", "0", "3"
"450", "436", "436", "森閑", "5", "0", "0"
"450", "408", "427", "人気のない場所", "5", "0", "0"
"450", "460", "427", "本日の一面記事", "5", "0", "0"
"450", "445", "409", "ボールのある日常", "5", "0", "0"
"450", "468", "395", "陽落ちて", "5", "0", "2"
"450", "404", "427", "ゲームオーバー", "5", "0", "1"
"450", "460", "395", "Lotus Road", "5", "0", "0"
"450", "453", "395", "Incomplete Plot", "5", "0", "3"
"450", "465", "449", "Border Land", "5", "0", "0"
"450", "468", "436", "Endless", "5", "1", "0"
"450", "417", "388", "My Maid, Sweet Maid", "5", "1", "2"
"450", "436", "436", "Plastic Space", "5", "0", "2"
"462", "453", "417", "顕現した伝承の形", "4", "0", "1"
"462", "419", "395", "Break the Sabbath", "4", "1", "1"
"462", "429", "380", "久遠の楽園", "4", "0", "1"
"462", "436", "417", "Mystic Dream", "4", "1", "0"
"462", "436", "417", "夢機械　～ Innocent Power", "4", "0", "1"
"462", "468", "388", "Frontal Attack", "4", "0", "1"
"468", "445", "427", "Intermezzo", "3", "0", "0"
"468", "429", "417", "幽境", "3", "0", "1"
"468", "436", "417", "風光明媚", "3", "0", "0"
"468", "453", "449", "可能性を信じて", "3", "0", "2"
"468", "429", "436", "封魔終演", "3", "0", "0"
"468", "468", "436", "東方の青い空", "3", "0", "0"
"468", "468", "449", "霊人の休日", "3", "0", "1"
"468", "460", "436", "神社", "3", "0", "1"
"468", "436", "436", "魂の休らむ所", "3", "0", "0"
"477", "422", "380", "放縦不羈", "2", "0", "0"
"477", "453", "436", "神社の新しい風", "2", "0", "0"
"477", "445", "427", "時代の風の訪れ", "2", "0", "0"
"477", "436", "409", "タイトルドメイド", "2", "1", "1"
"481", "453", "449", "魔所", "1", "0", "0"
"481", "460", "427", "真実を知る者", "1", "0", "0"
"481", "453", "449", "勝利デモ", "1", "0", "0"
"481", "468", "449", "Days", "1", "0", "0"
"481", "445", "436", "Peaceful", "1", "0", "0"
"481", "445", "395", "稀翁玉　～ Fairy Dance", "1", "0", "0"
"487", "－", "－", "幽霊楽団　～ Phantom Ensemble", "", "", ""
"488", "465", "449", "幻想の住人", "0", "0", "0"
